sample_id,sample_group,library_type,coverage,tissues
IH02,healthy,SSP,30.08,all
IH03,healthy,SSP,2.29,all
IC37,cancer,SSP,38.22,all
IC33,cancer,SSP,1.93,all
IC15,cancer,SSP,29.77,all
IC32,cancer,SSP,2.25,all
IC17,cancer,SSP,42.1,all
IC23,cancer,SSP,2.9,all
IC35,cancer,SSP,18.2,all
IC46,cancer,SSP,2.1,all
IC20,cancer,SSP,23.4,all
IC28,cancer,SSP,2.6,all
IC10,cancer,SSP,1.83,all
IH01,healthy,DSP,104.9,all
IC49,cancer,DSP,11.2,all
IC50,cancer,DSP,10.8,all
IC51,cancer,DSP,11.8,all
IC52,cancer,DSP,11.4,all
