sample_id,srr_accession,sample_group,library_type,coverage
IA01,SRR2129994,autoimmune,SSP,2.02
IA02,SRR2129995,autoimmune,SSP,1.95
IA03,SRR2129996,autoimmune,SSP,2.05
IA04,SRR2129997,autoimmune,SSP,2.14
IA05,SRR2129998,autoimmune,DSP,11.09
IA06,SRR2129999,autoimmune,DSP,9.9
IA07,SRR2130000,autoimmune,DSP,11.69
IA08,SRR2130001,autoimmune,DSP,10.84
IC02,SRR2130002,cancer,SSP,2.59
IC03,SRR2130003,cancer,SSP,2.79
IC04,SRR2130004,cancer,SSP,2.57
IC05,SRR2130005,cancer,SSP,1.6
IC06,SRR2130006,cancer,SSP,2.11
IC08,SRR2130007,cancer,SSP,1.92
IC09,SRR2130008,cancer,SSP,2.13
IC10,SRR2130009,cancer,SSP,1.83
IC11,SRR2130010,cancer,SSP,2.15
IC12,SRR2130011,cancer,SSP,2.34
IC13,SRR2130012,cancer,SSP,2.52
IC14,SRR2130013,cancer,SSP,2.2
IC15,SRR2130014,cancer,SSP,29.77
IC16,SRR2130015,cancer,SSP,2.47
IC17,SRR2130016,cancer,SSP,42.08
IC18,SRR2130017,cancer,SSP,2.24
IC19,SRR2130018,cancer,SSP,2.02
IC20,SRR2130019,cancer,SSP,23.38
IC21,SRR2130020,cancer,SSP,1.79
IC22,SRR2130021,cancer,SSP,2.51
IC23,SRR2130022,cancer,SSP,2.94
IC24,SRR2130023,cancer,SSP,2.48
IC25,SRR2130024,cancer,SSP,2.86
IC26,SRR2130025,cancer,SSP,2.97
IC27,SRR2130026,cancer,SSP,2.2
IC28,SRR2130027,cancer,SSP,2.6
IC29,SRR2130028,cancer,SSP,1.75
IC30,SRR2130029,cancer,SSP,1.75
IC32,SRR2130030,cancer,SSP,2.25
IC33,SRR2130031,cancer,SSP,1.93
IC34,SRR2130032,cancer,SSP,2.53
IC35,SRR2130033,cancer,SSP,18.22
IC36,SRR2130034,cancer,SSP,2.21
IC37,SRR2130035,cancer,SSP,38.22
IC38,SRR2130036,cancer,SSP,1.78
IC39,SRR2130037,cancer,SSP,2.62
IC40,SRR2130038,cancer,SSP,1.81
IC41,SRR2130039,cancer,SSP,2.26
IC42,SRR2130040,cancer,SSP,2.02
IC43,SRR2130041,cancer,SSP,2.4
IC44,SRR2130042,cancer,SSP,2.45
IC46,SRR2130043,cancer,SSP,2.13
IC47,SRR2130044,cancer,SSP,2.07
IC48,SRR2130045,cancer,SSP,2.01
IC49,SRR2130046,cancer,DSP,11.19
IC50,SRR2130047,cancer,DSP,10.82
IC51,SRR2130048,cancer,DSP,11.77
IC52,SRR2130049,cancer,DSP,11.37
IH01,SRR2130050,healthy,DSP,104.9
IH02,SRR2130051,healthy,SSP,30.08
IH03,SRR2130052,healthy,SSP,2.29
